Date;brand;packagetype;prijstype;KanaalType;Actie_Type;clusters;inflow;month;active
2021-07-31;DS;WEDI;PROMO;koppelverkoop;koppelverkoop;groot;391;7;0.0
2021-07-31;DS;WEDI;PROMO;koppelverkoop;koppelverkoop;klein;46;7;0.0
2021-07-31;DS;WEDI;PROMO;koppelverkoop;koppelverkoop;middel;230;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;mailing;groot;105;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;mailing;klein;15;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;mailing;middel;55;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;overig;groot;107;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;overig;klein;14;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;overig;middel;40;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;project;groot;91;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;project;klein;12;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;project;middel;47;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;winback;groot;82;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;winback;klein;13;7;0.0
2021-07-31;DS;WEDI;PROMO;korting;winback;middel;48;7;0.0
2021-07-31;DS;WEDI;PROMO;overig;mailing;klein;6;7;0.0
2021-07-31;DS;WEDI;PROMO;overig;mailing;middel;28;7;0.0
2021-07-31;DS;WEDI;PROMO;overig;overig;klein;15;7;0.0
2021-07-31;DS;WEDI;PROMO;overig;overig;middel;129;7;0.0
2021-07-31;DS;WEDI;PROMO;vitrine;overig;klein;6;7;0.0
2021-07-31;DS;WEDI;PROMO;vitrine;project;groot;98;7;0.0
2021-07-31;DS;WEDI;PROMO;vitrine;project;klein;29;7;0.0
2021-07-31;DS;WEDI;PROMO;vitrine;project;middel;63;7;0.0
2021-07-31;DS;WEEKEND;BASE;korting;klantendienst;groot;13;7;0.0
2021-07-31;DS;WEEKEND;BASE;korting;klantendienst;klein;6;7;0.0
2021-07-31;DS;WEEKEND;BASE;korting;klantendienst;middel;8;7;0.0
2021-07-31;DS;WEEKEND;BASE;korting;overig;groot;36;7;0.0
2021-07-31;DS;WEEKEND;BASE;korting;overig;klein;9;7;0.0
2021-07-31;DS;WEEKEND;BASE;korting;overig;middel;29;7;0.0
2021-07-31;DS;WEEKEND;BASE;korting;project;groot;8;7;0.0
2021-07-31;DS;WEEKEND;BASE;korting;project;klein;6;7;0.0
2021-07-31;DS;WEEKEND;BASE;korting;project;middel;7;7;0.0
2021-07-31;DS;WEEKEND;BASE;vitrine;overig;klein;6;7;0.0
2021-07-31;DS;WEEKEND;BASE;vitrine;project;groot;91;7;0.0
2021-07-31;DS;WEEKEND;BASE;vitrine;project;klein;9;7;0.0
2021-07-31;DS;WEEKEND;BASE;vitrine;project;middel;34;7;0.0
2021-07-31;DS;WEEKEND;PROMO;geschenk;geschenkactie;groot;48;7;0.0
2021-07-31;DS;WEEKEND;PROMO;geschenk;geschenkactie;klein;11;7;0.0
2021-07-31;DS;WEEKEND;PROMO;geschenk;geschenkactie;middel;23;7;0.0
2021-07-31;DS;WEEKEND;PROMO;korting;mailing;groot;58;7;0.0
2021-07-31;DS;WEEKEND;PROMO;korting;mailing;middel;17;7;0.0
2021-07-31;DS;WEEKEND;PROMO;korting;project;groot;68;7;0.0
2021-07-31;DS;WEEKEND;PROMO;korting;project;klein;7;7;0.0
2021-07-31;DS;WEEKEND;PROMO;korting;project;middel;11;7;0.0
2021-07-31;DS;WEEKEND;PROMO;korting;winback;groot;24;7;0.0
2021-07-31;DS;WEEKEND;PROMO;korting;winback;klein;8;7;0.0
2021-07-31;DS;WEEKEND;PROMO;korting;winback;middel;13;7;0.0
2021-07-31;DS;WEEKEND;PROMO;overig;project;klein;8;7;0.0
2021-07-31;DS;WEEKEND;PROMO;overig;project;middel;346;7;0.0
2021-07-31;DS;WEEKEND;PROMO;vitrine;project;groot;37;7;0.0
2021-07-31;DS;WEEKEND;PROMO;vitrine;project;klein;9;7;0.0
2021-07-31;DS;WEEKEND;PROMO;vitrine;project;middel;17;7;0.0
2021-07-31;DS;WEEKEND;STUNT;vitrine;project;groot;35;7;0.0
2021-07-31;DS;WEEKEND;STUNT;vitrine;project;klein;6;7;0.0
2021-07-31;DS;WEEKEND;STUNT;vitrine;project;middel;12;7;0.0
2021-07-31;DS;ZADI;BASE;geschenk;geschenkactie;klein;6;7;0.0
2021-07-31;DS;ZADI;BASE;geschenk;geschenkactie;middel;12;7;0.0
2021-07-31;DS;ZADI;BASE;korting;klantendienst;groot;66;7;0.0
2021-07-31;DS;ZADI;BASE;korting;klantendienst;klein;16;7;0.0
2021-07-31;DS;ZADI;BASE;korting;klantendienst;middel;51;7;1.0
2021-07-31;DS;ZADI;BASE;korting;project;groot;20;7;0.0
2021-07-31;DS;ZADI;BASE;korting;project;klein;8;7;0.0
2021-07-31;DS;ZADI;BASE;korting;project;middel;13;7;0.0
2021-07-31;DS;ZADI;BASE;vitrine;project;groot;44;7;0.0
2021-07-31;DS;ZADI;BASE;vitrine;project;klein;15;7;0.0
2021-07-31;DS;ZADI;BASE;vitrine;project;middel;26;7;1.0
2021-07-31;DS;ZADI;PROMO;geschenk;geschenkactie;groot;156;7;0.0
2021-07-31;DS;ZADI;PROMO;geschenk;geschenkactie;klein;17;7;1.0
2021-07-31;DS;ZADI;PROMO;geschenk;geschenkactie;middel;49;7;0.0
2021-07-31;DS;ZADI;PROMO;gratis maanden;Gratis maanden;groot;68;7;0.0
2021-07-31;DS;ZADI;PROMO;gratis maanden;Gratis maanden;klein;9;7;0.0
2021-07-31;DS;ZADI;PROMO;gratis maanden;Gratis maanden;middel;19;7;0.0
2021-07-31;DS;ZADI;PROMO;gratis maanden;mailing;groot;15;7;0.0
2021-07-31;DS;ZADI;PROMO;gratis maanden;mailing;middel;9;7;0.0
2021-07-31;DS;ZADI;PROMO;koppelverkoop;koppelverkoop;groot;36;7;0.0
2021-07-31;DS;ZADI;PROMO;koppelverkoop;koppelverkoop;klein;12;7;1.0
2021-07-31;DS;ZADI;PROMO;koppelverkoop;koppelverkoop;middel;24;7;0.0
2021-07-31;DS;ZADI;PROMO;koppelverkoop;open comm;groot;85;7;0.0
2021-07-31;DS;ZADI;PROMO;koppelverkoop;open comm;klein;19;7;0.0
2021-07-31;DS;ZADI;PROMO;koppelverkoop;open comm;middel;61;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;content;groot;727;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;content;klein;246;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;content;middel;448;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;klantendienst;groot;26;7;1.0
2021-07-31;DS;ZADI;PROMO;korting;klantendienst;klein;11;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;klantendienst;middel;18;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;mailing;groot;641;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;mailing;klein;32;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;mailing;middel;143;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;open comm;groot;475;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;open comm;klein;44;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;open comm;middel;322;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;overig;groot;322;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;overig;klein;22;7;1.0
2021-07-31;DS;ZADI;PROMO;korting;overig;middel;82;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;project;groot;651;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;project;klein;60;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;project;middel;406;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;winback;groot;142;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;winback;klein;19;7;0.0
2021-07-31;DS;ZADI;PROMO;korting;winback;middel;61;7;0.0
2021-07-31;DS;ZADI;PROMO;stunt;project;groot;68;7;0.0
2021-07-31;DS;ZADI;PROMO;stunt;project;klein;14;7;0.0
2021-07-31;DS;ZADI;PROMO;stunt;project;middel;58;7;0.0
2021-07-31;DS;ZADI;PROMO;tolpoort;overig;groot;51;7;0.0
2021-07-31;DS;ZADI;PROMO;tolpoort;overig;klein;10;7;0.0
2021-07-31;DS;ZADI;PROMO;tolpoort;overig;middel;22;7;0.0
2021-07-31;DS;ZADI;PROMO;tolpoort;project;groot;18;7;0.0
2021-07-31;DS;ZADI;PROMO;tolpoort;project;klein;9;7;0.0
2021-07-31;DS;ZADI;PROMO;tolpoort;project;middel;12;7;0.0
2021-07-31;DS;ZADI;PROMO;tolpoort;tolpoort;groot;84;7;0.0
2021-07-31;DS;ZADI;PROMO;tolpoort;tolpoort;klein;18;7;0.0
2021-07-31;DS;ZADI;PROMO;tolpoort;tolpoort;middel;42;7;0.0
2021-07-31;DS;ZADI;PROMO;vitrine;geschenkactie;groot;21;7;0.0
2021-07-31;DS;ZADI;PROMO;vitrine;geschenkactie;klein;7;7;0.0
2021-07-31;DS;ZADI;PROMO;vitrine;geschenkactie;middel;15;7;0.0
2021-07-31;DS;ZADI;PROMO;vitrine;project;groot;156;7;0.0
2021-07-31;DS;ZADI;PROMO;vitrine;project;klein;34;7;1.0
2021-07-31;DS;ZADI;PROMO;vitrine;project;middel;81;7;0.0
2021-07-31;DS;ZADI;STUDENTS;korting;student;groot;75;7;0.0
2021-07-31;DS;ZADI;STUDENTS;korting;student;klein;17;7;0.0
2021-07-31;DS;ZADI;STUDENTS;korting;student;middel;39;7;0.0
2021-07-31;DS;ZADI;STUDENTS;overig;student;groot;68;7;0.0
2021-07-31;DS;ZADI;STUDENTS;overig;student;klein;25;7;1.0
2021-07-31;DS;ZADI;STUDENTS;overig;student;middel;43;7;0.0
2021-07-31;DS;ZADI;STUNT;korting;open comm;groot;604;7;0.0
2021-07-31;DS;ZADI;STUNT;korting;open comm;klein;19;7;0.0
2021-07-31;DS;ZADI;STUNT;korting;open comm;middel;217;7;0.0
2021-07-31;DS;ZADI;STUNT;korting;overig;klein;11;7;0.0
2021-07-31;DS;ZADI;STUNT;korting;overig;middel;386;7;0.0
2021-07-31;DS;ZADI;STUNT;korting;project;klein;6;7;0.0
2021-07-31;DS;ZADI;STUNT;korting;project;middel;8;7;0.0
2021-07-31;DS;ZADI;STUNT;stunt;1week1euro;groot;1353;7;0.0
2021-07-31;DS;ZADI;STUNT;stunt;1week1euro;klein;52;7;0.0
2021-07-31;DS;ZADI;STUNT;stunt;1week1euro;middel;511;7;0.0
2021-07-31;DS;ZADI;STUNT;stunt;open comm;groot;2361;7;0.0
2021-07-31;DS;ZADI;STUNT;stunt;open comm;klein;223;7;0.0
2021-07-31;DS;ZADI;STUNT;stunt;open comm;middel;1313;7;0.0
2021-07-31;DS;ZADI;STUNT;tolpoort;project;groot;1863;7;0.0
2021-07-31;DS;ZADI;STUNT;tolpoort;project;klein;284;7;1.0
2021-07-31;DS;ZADI;STUNT;tolpoort;project;middel;1015;7;0.0
2021-07-31;DS;ZADI;STUNT;tolpoort;tolpoort;groot;234;7;0.0
2021-07-31;DS;ZADI;STUNT;tolpoort;tolpoort;klein;33;7;0.0
