Date;included;brand;packagetype;prijstype;KanaalType;Actie_Type;clusters;inflow;month
2021-01-31;0;BVL;FULL;PROMO;korting;overig;groot;172;1
2021-01-31;0;BVL;FULL;PROMO;korting;overig;klein;33;1
2021-01-31;0;BVL;FULL;PROMO;korting;overig;middel;67;1
2021-01-31;0;BVL;FULL;PROMO;korting;project;groot;558;1
2021-01-31;0;BVL;FULL;PROMO;korting;project;klein;65;1
2021-01-31;0;BVL;FULL;PROMO;korting;project;middel;223;1
2021-01-31;0;BVL;FULL;PROMO;korting;winback;groot;418;1
2021-01-31;0;BVL;FULL;PROMO;korting;winback;klein;91;1
2021-01-31;0;BVL;FULL;PROMO;korting;winback;middel;229;1
2021-01-31;0;BVL;FULL;PROMO;overig;mailing;groot;75;1
2021-01-31;0;BVL;FULL;PROMO;overig;mailing;klein;18;1
2021-01-31;0;BVL;FULL;PROMO;overig;mailing;middel;49;1
2021-01-31;0;BVL;FULL;PROMO;overig;open comm;groot;16;1
2021-01-31;0;BVL;FULL;PROMO;overig;open comm;klein;10;1
2021-01-31;0;BVL;FULL;PROMO;overig;open comm;middel;11;1
2021-01-31;0;BVL;FULL;PROMO;overig;overig;groot;294;1
2021-01-31;0;BVL;FULL;PROMO;overig;overig;klein;34;1
2021-01-31;0;BVL;FULL;PROMO;overig;overig;middel;144;1
2021-01-31;0;BVL;FULL;PROMO;overig;project;groot;57;1
2021-01-31;0;BVL;FULL;PROMO;overig;project;klein;20;1
2021-01-31;0;BVL;FULL;PROMO;overig;project;middel;34;1
2021-01-31;0;BVL;FULL;PROMO;tolpoort;overig;klein;11;1
2021-01-31;0;BVL;FULL;PROMO;tolpoort;project;groot;19;1
2021-01-31;0;BVL;FULL;PROMO;tolpoort;project;klein;11;1
2021-01-31;0;BVL;FULL;PROMO;tolpoort;project;middel;14;1
2021-01-31;0;BVL;FULL;PROMO;vitrine;geschenkactie;groot;77;1
2021-01-31;0;BVL;FULL;PROMO;vitrine;geschenkactie;klein;12;1
2021-01-31;0;BVL;FULL;PROMO;vitrine;geschenkactie;middel;25;1
2021-01-31;0;BVL;FULL;PROMO;vitrine;project;groot;1325;1
2021-01-31;0;BVL;FULL;PROMO;vitrine;project;klein;50;1
2021-01-31;0;BVL;FULL;PROMO;vitrine;project;middel;468;1
2021-01-31;0;BVL;FULL;SPONSOR;gratis maanden;Gratis maanden;groot;2015;1
2021-01-31;0;BVL;FULL;SPONSOR;gratis maanden;Gratis maanden;klein;134;1
2021-01-31;0;BVL;FULL;SPONSOR;gratis maanden;Gratis maanden;middel;1095;1
2021-01-31;0;BVL;PLUS;BASE;korting;klantendienst;groot;145;1
2021-01-31;0;BVL;PLUS;BASE;korting;klantendienst;klein;37;1
2021-01-31;0;BVL;PLUS;BASE;korting;klantendienst;middel;77;1
2021-01-31;0;BVL;PLUS;BASE;tolpoort;project;groot;63;1
2021-01-31;0;BVL;PLUS;BASE;tolpoort;project;klein;16;1
2021-01-31;0;BVL;PLUS;BASE;tolpoort;project;middel;30;1
2021-01-31;0;BVL;PLUS;BASE;vitrine;project;groot;185;1
2021-01-31;0;BVL;PLUS;BASE;vitrine;project;klein;36;1
2021-01-31;0;BVL;PLUS;BASE;vitrine;project;middel;106;1
2021-01-31;0;BVL;PLUS;FREE;gratis maanden;Gratis maanden;klein;345;1
2021-01-31;0;BVL;PLUS;FREE;gratis maanden;Gratis maanden;middel;554;1
2021-01-31;0;BVL;PLUS;FREE;vitrine;project;klein;33;1
2021-01-31;0;BVL;PLUS;PROMO;korting;klantendienst;groot;60;1
2021-01-31;0;BVL;PLUS;PROMO;korting;klantendienst;klein;10;1
2021-01-31;0;BVL;PLUS;PROMO;korting;klantendienst;middel;21;1
2021-01-31;0;BVL;PLUS;PROMO;korting;open comm;groot;84;1
2021-01-31;0;BVL;PLUS;PROMO;korting;open comm;klein;25;1
2021-01-31;0;BVL;PLUS;PROMO;korting;open comm;middel;50;1
2021-01-31;0;BVL;PLUS;PROMO;korting;project;groot;56;1
2021-01-31;0;BVL;PLUS;PROMO;korting;project;klein;13;1
2021-01-31;0;BVL;PLUS;PROMO;korting;project;middel;33;1
2021-01-31;0;BVL;PLUS;PROMO;overig;overig;groot;64;1
2021-01-31;0;BVL;PLUS;PROMO;overig;overig;klein;24;1
2021-01-31;0;BVL;PLUS;PROMO;overig;overig;middel;32;1
2021-01-31;0;BVL;PLUS;PROMO;overig;project;klein;11;1
2021-01-31;0;BVL;PLUS;PROMO;overig;project;middel;12;1
2021-01-31;0;BVL;PLUS;PROMO;stunt;1week1euro;klein;17;1
2021-01-31;0;BVL;PLUS;PROMO;tolpoort;project;groot;181;1
2021-01-31;0;BVL;PLUS;PROMO;tolpoort;project;klein;18;1
2021-01-31;0;BVL;PLUS;PROMO;tolpoort;project;middel;114;1
2021-01-31;0;BVL;PLUS;PROMO;tolpoort;tolpoort;groot;638;1
2021-01-31;0;BVL;PLUS;PROMO;tolpoort;tolpoort;klein;181;1
2021-01-31;0;BVL;PLUS;PROMO;tolpoort;tolpoort;middel;406;1
2021-01-31;0;BVL;PLUS;PROMO;vitrine;project;groot;495;1
2021-01-31;0;BVL;PLUS;PROMO;vitrine;project;klein;81;1
2021-01-31;0;BVL;PLUS;PROMO;vitrine;project;middel;235;1
2021-01-31;0;BVL;PLUS;STUNT;gratis maanden;Gratis maanden;klein;31;1
2021-01-31;0;BVL;PLUS;STUNT;tolpoort;tolpoort;groot;600;1
2021-01-31;0;BVL;PLUS;STUNT;tolpoort;tolpoort;klein;197;1
2021-01-31;0;BVL;PLUS;STUNT;tolpoort;tolpoort;middel;330;1
2021-01-31;0;BVL;ZADI;BASE;korting;klantendienst;groot;511;1
2021-01-31;0;BVL;ZADI;BASE;korting;klantendienst;klein;27;1
2021-01-31;0;BVL;ZADI;BASE;korting;klantendienst;middel;311;1
2021-01-31;0;BVL;ZADI;BASE;korting;overig;groot;150;1
2021-01-31;0;BVL;ZADI;BASE;korting;overig;klein;21;1
2021-01-31;0;BVL;ZADI;BASE;korting;overig;middel;109;1
2021-01-31;0;BVL;ZADI;BASE;vitrine;project;groot;227;1
2021-01-31;0;BVL;ZADI;BASE;vitrine;project;klein;30;1
2021-01-31;0;BVL;ZADI;BASE;vitrine;project;middel;81;1
2021-01-31;0;BVL;ZADI;FREE;korting;klantendienst;middel;12;1
2021-01-31;0;BVL;ZADI;PROMO;geschenk;geschenkactie;groot;93;1
2021-01-31;0;BVL;ZADI;PROMO;geschenk;geschenkactie;klein;21;1
2021-01-31;0;BVL;ZADI;PROMO;geschenk;geschenkactie;middel;54;1
2021-01-31;0;BVL;ZADI;PROMO;gratis maanden;Gratis maanden;klein;25;1
2021-01-31;0;BVL;ZADI;PROMO;gratis maanden;Gratis maanden;middel;450;1
2021-01-31;0;BVL;ZADI;PROMO;koppelverkoop;koppelverkoop;groot;47;1
2021-01-31;0;BVL;ZADI;PROMO;koppelverkoop;koppelverkoop;klein;16;1
2021-01-31;0;BVL;ZADI;PROMO;koppelverkoop;koppelverkoop;middel;34;1
2021-01-31;0;BVL;ZADI;PROMO;koppelverkoop;open comm;groot;68;1
2021-01-31;0;BVL;ZADI;PROMO;koppelverkoop;open comm;klein;20;1
2021-01-31;0;BVL;ZADI;PROMO;koppelverkoop;open comm;middel;39;1
2021-01-31;0;BVL;ZADI;PROMO;koppelverkoop;project;klein;26;1
2021-01-31;0;BVL;ZADI;PROMO;korting;dm;groot;180;1
2021-01-31;0;BVL;ZADI;PROMO;korting;dm;klein;24;1
2021-01-31;0;BVL;ZADI;PROMO;korting;dm;middel;100;1
2021-01-31;0;BVL;ZADI;PROMO;korting;klantendienst;groot;253;1
2021-01-31;0;BVL;ZADI;PROMO;korting;klantendienst;klein;26;1
2021-01-31;0;BVL;ZADI;PROMO;korting;klantendienst;middel;160;1
2021-01-31;0;BVL;ZADI;PROMO;korting;mailing;groot;76;1
2021-01-31;0;BVL;ZADI;PROMO;korting;mailing;klein;19;1
2021-01-31;0;BVL;ZADI;PROMO;korting;mailing;middel;42;1
2021-01-31;0;BVL;ZADI;PROMO;korting;open comm;groot;149;1
2021-01-31;0;BVL;ZADI;PROMO;korting;open comm;klein;32;1
2021-01-31;0;BVL;ZADI;PROMO;korting;open comm;middel;87;1
2021-01-31;0;BVL;ZADI;PROMO;korting;overig;groot;17;1
2021-01-31;0;BVL;ZADI;PROMO;korting;overig;klein;10;1
2021-01-31;0;BVL;ZADI;PROMO;korting;overig;middel;14;1
2021-01-31;0;BVL;ZADI;PROMO;korting;project;groot;186;1
2021-01-31;0;BVL;ZADI;PROMO;korting;project;klein;34;1
2021-01-31;0;BVL;ZADI;PROMO;korting;project;middel;90;1
2021-01-31;0;BVL;ZADI;PROMO;korting;winback;groot;50;1
2021-01-31;0;BVL;ZADI;PROMO;korting;winback;klein;17;1
2021-01-31;0;BVL;ZADI;PROMO;korting;winback;middel;31;1
2021-01-31;0;BVL;ZADI;PROMO;overig;mailing;klein;17;1
2021-01-31;0;BVL;ZADI;PROMO;overig;open comm;groot;46;1
2021-01-31;0;BVL;ZADI;PROMO;overig;open comm;klein;23;1
2021-01-31;0;BVL;ZADI;PROMO;overig;open comm;middel;40;1
2021-01-31;0;BVL;ZADI;PROMO;overig;overig;groot;532;1
2021-01-31;0;BVL;ZADI;PROMO;overig;overig;klein;15;1
2021-01-31;0;BVL;ZADI;PROMO;overig;overig;middel;168;1
2021-01-31;0;BVL;ZADI;PROMO;overig;project;groot;190;1
2021-01-31;0;BVL;ZADI;PROMO;overig;project;klein;25;1
2021-01-31;0;BVL;ZADI;PROMO;overig;project;middel;79;1
2021-01-31;0;BVL;ZADI;PROMO;stunt;1week1euro;groot;1163;1
2021-01-31;0;BVL;ZADI;PROMO;stunt;1week1euro;klein;18;1
2021-01-31;0;BVL;ZADI;PROMO;stunt;1week1euro;middel;615;1
2021-01-31;0;BVL;ZADI;PROMO;tolpoort;mailing;groot;20;1
2021-01-31;0;BVL;ZADI;PROMO;tolpoort;mailing;klein;10;1
2021-01-31;0;BVL;ZADI;PROMO;tolpoort;mailing;middel;15;1
2021-01-31;0;BVL;ZADI;PROMO;tolpoort;project;groot;73;1
2021-01-31;0;BVL;ZADI;PROMO;tolpoort;project;klein;27;1
2021-01-31;0;BVL;ZADI;PROMO;tolpoort;project;middel;51;1
2021-01-31;0;BVL;ZADI;PROMO;tolpoort;tolpoort;groot;709;1
2021-01-31;0;BVL;ZADI;PROMO;tolpoort;tolpoort;klein;147;1
2021-01-31;0;BVL;ZADI;PROMO;tolpoort;tolpoort;middel;416;1
2021-01-31;0;BVL;ZADI;PROMO;vitrine;geschenkactie;klein;16;1
2021-01-31;0;BVL;ZADI;PROMO;vitrine;project;groot;585;1
2021-01-31;0;BVL;ZADI;PROMO;vitrine;project;klein;44;1
2021-01-31;0;BVL;ZADI;PROMO;vitrine;project;middel;292;1
2021-01-31;0;BVL;ZADI;SPONSOR;gratis maanden;Gratis maanden;groot;598;1
2021-01-31;0;BVL;ZADI;SPONSOR;gratis maanden;Gratis maanden;klein;60;1
2021-01-31;0;BVL;ZADI;SPONSOR;gratis maanden;Gratis maanden;middel;308;1
2021-01-31;0;BVL;ZADI;STUNT;stunt;1week1euro;groot;942;1
2021-01-31;0;BVL;ZADI;STUNT;stunt;1week1euro;klein;300;1
2021-01-31;0;BVL;ZADI;STUNT;stunt;1week1euro;middel;796;1
2021-01-31;0;BVL;ZADI;STUNT;tolpoort;tolpoort;groot;348;1
2021-01-31;0;BVL;ZADI;STUNT;tolpoort;tolpoort;klein;62;1
2021-01-31;0;BVL;ZADI;STUNT;tolpoort;tolpoort;middel;136;1
2021-01-31;0;DS;DIGI;BASE;korting;klantendienst;groot;1640;1
2021-01-31;0;DS;DIGI;BASE;korting;klantendienst;klein;183;1
2021-01-31;0;DS;DIGI;BASE;korting;klantendienst;middel;1088;1
2021-01-31;0;DS;DIGI;BASE;korting;open comm;groot;21;1
2021-01-31;0;DS;DIGI;BASE;korting;open comm;klein;10;1
2021-01-31;0;DS;DIGI;BASE;korting;open comm;middel;12;1
2021-01-31;0;DS;DIGI;BASE;korting;project;groot;1350;1
2021-01-31;0;DS;DIGI;BASE;korting;project;klein;177;1
2021-01-31;0;DS;DIGI;BASE;korting;project;middel;859;1
2021-01-31;0;DS;DIGI;BASE;korting;student;klein;12;1
2021-01-31;0;DS;DIGI;BASE;vitrine;overig;groot;131;1
2021-01-31;0;DS;DIGI;BASE;vitrine;overig;klein;19;1
2021-01-31;0;DS;DIGI;BASE;vitrine;overig;middel;72;1
2021-01-31;0;DS;DIGI;BASE;vitrine;project;groot;817;1
2021-01-31;0;DS;DIGI;BASE;vitrine;project;klein;124;1
2021-01-31;0;DS;DIGI;BASE;vitrine;project;middel;417;1
2021-01-31;0;DS;DIGI;FREE;gratis maanden;Gratis maanden;klein;25;1
2021-01-31;0;DS;DIGI;PROMO;koppelverkoop;koppelverkoop;groot;165;1
2021-01-31;0;DS;DIGI;PROMO;koppelverkoop;koppelverkoop;klein;20;1
2021-01-31;0;DS;DIGI;PROMO;koppelverkoop;koppelverkoop;middel;75;1
2021-01-31;0;DS;DIGI;PROMO;koppelverkoop;open comm;groot;230;1
2021-01-31;0;DS;DIGI;PROMO;koppelverkoop;open comm;klein;38;1
2021-01-31;0;DS;DIGI;PROMO;koppelverkoop;open comm;middel;105;1
2021-01-31;0;DS;DIGI;PROMO;korting;content;groot;471;1
2021-01-31;0;DS;DIGI;PROMO;korting;content;klein;92;1
2021-01-31;0;DS;DIGI;PROMO;korting;content;middel;257;1
2021-01-31;0;DS;DIGI;PROMO;korting;klantendienst;groot;679;1
2021-01-31;0;DS;DIGI;PROMO;korting;klantendienst;klein;65;1
2021-01-31;0;DS;DIGI;PROMO;korting;klantendienst;middel;393;1
2021-01-31;0;DS;DIGI;PROMO;korting;mailing;groot;93;1
2021-01-31;0;DS;DIGI;PROMO;korting;mailing;klein;23;1
2021-01-31;0;DS;DIGI;PROMO;korting;mailing;middel;67;1
2021-01-31;0;DS;DIGI;PROMO;korting;open comm;groot;89;1
2021-01-31;0;DS;DIGI;PROMO;korting;open comm;klein;10;1
2021-01-31;0;DS;DIGI;PROMO;korting;open comm;middel;26;1
2021-01-31;0;DS;DIGI;PROMO;korting;overig;groot;125;1
2021-01-31;0;DS;DIGI;PROMO;korting;overig;klein;13;1
2021-01-31;0;DS;DIGI;PROMO;korting;overig;middel;39;1
2021-01-31;0;DS;DIGI;PROMO;korting;project;groot;601;1
2021-01-31;0;DS;DIGI;PROMO;korting;project;klein;55;1
2021-01-31;0;DS;DIGI;PROMO;korting;project;middel;248;1
2021-01-31;0;DS;DIGI;PROMO;korting;student;groot;150;1
2021-01-31;0;DS;DIGI;PROMO;korting;student;klein;19;1
2021-01-31;0;DS;DIGI;PROMO;korting;student;middel;66;1
2021-01-31;0;DS;DIGI;PROMO;korting;winback;groot;76;1
2021-01-31;0;DS;DIGI;PROMO;korting;winback;klein;21;1
2021-01-31;0;DS;DIGI;PROMO;korting;winback;middel;48;1
2021-01-31;0;DS;DIGI;PROMO;overig;overig;groot;3916;1
2021-01-31;0;DS;DIGI;PROMO;overig;overig;klein;913;1
2021-01-31;0;DS;DIGI;PROMO;overig;overig;middel;2069;1
2021-01-31;0;DS;DIGI;PROMO;tolpoort;overig;groot;76;1
2021-01-31;0;DS;DIGI;PROMO;tolpoort;overig;klein;14;1
2021-01-31;0;DS;DIGI;PROMO;tolpoort;overig;middel;24;1
2021-01-31;0;DS;DIGI;PROMO;tolpoort;project;klein;21;1
2021-01-31;0;DS;DIGI;PROMO;tolpoort;tolpoort;groot;123;1
2021-01-31;0;DS;DIGI;PROMO;tolpoort;tolpoort;klein;25;1
2021-01-31;0;DS;DIGI;PROMO;tolpoort;tolpoort;middel;61;1
2021-01-31;0;DS;DIGI;PROMO;vitrine;overig;groot;79;1
2021-01-31;0;DS;DIGI;PROMO;vitrine;overig;klein;19;1
2021-01-31;0;DS;DIGI;PROMO;vitrine;overig;middel;48;1
2021-01-31;0;DS;DIGI;PROMO;vitrine;project;groot;1295;1
2021-01-31;0;DS;DIGI;PROMO;vitrine;project;klein;110;1
2021-01-31;0;DS;DIGI;PROMO;vitrine;project;middel;628;1
2021-01-31;0;DS;DIGI;SPONSOR;korting;project;groot;30;1
2021-01-31;0;DS;DIGI;SPONSOR;korting;project;klein;12;1
2021-01-31;0;DS;DIGI;SPONSOR;korting;project;middel;16;1
2021-01-31;0;DS;DIGI;SPONSOR;korting;student;klein;12;1
2021-01-31;0;DS;DIGI;STUNT;korting;klantendienst;groot;522;1
2021-01-31;0;DS;DIGI;STUNT;korting;klantendienst;klein;14;1
2021-01-31;0;DS;DIGI;STUNT;korting;klantendienst;middel;29;1
2021-01-31;0;DS;DIGI;STUNT;korting;mailing;klein;105;1
2021-01-31;0;DS;DIGI;STUNT;korting;open comm;groot;1470;1
2021-01-31;0;DS;DIGI;STUNT;korting;open comm;klein;109;1
2021-01-31;0;DS;DIGI;STUNT;korting;open comm;middel;414;1
2021-01-31;0;DS;DIGI;STUNT;korting;overig;groot;275;1
2021-01-31;0;DS;DIGI;STUNT;korting;overig;klein;30;1
2021-01-31;0;DS;DIGI;STUNT;korting;overig;middel;84;1
2021-01-31;0;DS;DIGI;STUNT;korting;project;groot;443;1
2021-01-31;0;DS;DIGI;STUNT;korting;project;klein;30;1
2021-01-31;0;DS;DIGI;STUNT;korting;project;middel;345;1
2021-01-31;0;DS;DIGI;STUNT;tolpoort;project;groot;5000;1
2021-01-31;0;DS;DIGI;STUNT;tolpoort;project;klein;189;1
2021-01-31;0;DS;DIGI;STUNT;tolpoort;project;middel;1327;1
2021-01-31;0;DS;DIGI;STUNT;tolpoort;tolpoort;groot;946;1
2021-01-31;0;DS;DIGI;STUNT;tolpoort;tolpoort;klein;66;1
2021-01-31;0;DS;DIGI;STUNT;tolpoort;tolpoort;middel;477;1
2021-01-31;0;DS;DIGI;STUNT;vitrine;overig;groot;235;1
2021-01-31;0;DS;DIGI;STUNT;vitrine;overig;klein;15;1
2021-01-31;0;DS;DIGI;STUNT;vitrine;overig;middel;159;1
2021-01-31;0;DS;DIGI;STUNT;vitrine;project;groot;1967;1
2021-01-31;0;DS;DIGI;STUNT;vitrine;project;klein;157;1
2021-01-31;0;DS;DIGI;STUNT;vitrine;project;middel;638;1
2021-01-31;0;DS;FRACTIONS;BASE;korting;klantendienst;groot;299;1
2021-01-31;0;DS;FRACTIONS;BASE;korting;klantendienst;klein;68;1
2021-01-31;0;DS;FRACTIONS;BASE;korting;klantendienst;middel;178;1
2021-01-31;0;DS;FRACTIONS;BASE;korting;open comm;klein;12;1
2021-01-31;0;DS;FRACTIONS;BASE;korting;project;groot;471;1
