brand,PrintvsDigi,sub_type,pricecat,flow_type,flow_direction,exog,exog_pricecat,exog_flow,exog_lag,model,comment
NB,Digi,PLUS,STUNT,Regular,Inflow,campaigns,STUNT,inflow,,pmdarima,
NB,Digi,PLUS,STUNT,Regular,Outflow,other_flow,STUNT,newcheck,2,GLS,
NB,Digi,PLUS,STUNT,Transformers,Inflow,,,,,statsmodels,
NB,Digi,PLUS,STUNT,Transformers,Outflow,other_flow,STUNT,newcheck,2,GLS,
NB,Digi,PLUS,STUNT,Switchers,Inflow,,,,,statsmodels,
NB,Digi,PLUS,STUNT,Switchers,Outflow,,,,,statsmodels,
DS,Print,Print_full,BASE,Regular,Inflow,campaigns,BASE,inflow,0,statsmodels,
DS,Print,Print_full,BASE,Regular,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Print,Print_full,BASE,Transformers,Inflow,other_flow,PROMO,newcheck,2,GLS,
DS,Print,Print_full,BASE,Transformers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Print,Print_full,BASE,Switchers,Inflow,,,,,statsmodels,
DS,Print,Print_full,BASE,Switchers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Print,Print_full,PROMO,Regular,Inflow,campaigns,Print_full,inflow,0,statsmodels,
DS,Print,Print_full,PROMO,Regular,Outflow,other_flow,PROMO,newcheck,0,statsmodels,
DS,Print,Print_full,PROMO,Transformers,Inflow,,,,,statsmodels,
DS,Print,Print_full,PROMO,Transformers,Outflow,other_flow,PROMO,newcheck,2,GLS,
DS,Print,Print_full,PROMO,Switchers,Inflow,,,,,statsmodels,
DS,Print,Print_full,PROMO,Switchers,Outflow,other_flow,PROMO,newcheck,2,statsmodels,
DS,Print,Print_full,STUDENTS,Regular,Inflow,campaigns,STUDENTS,inflow,0,statsmodels,
DS,Print,Print_full,STUDENTS,Regular,Outflow,other_flow,STUDENTS,newcheck,9,GLS,
DS,Print,Print_full,STUDENTS,Transformers,Inflow,,,,,Excluded,
DS,Print,Print_full,STUDENTS,Transformers,Outflow,,,,,Excluded,
DS,Print,Print_full,STUDENTS,Switchers,Inflow,,,,,Excluded,
DS,Print,Print_full,STUDENTS,Switchers,Outflow,,,,,Excluded,
DS,Print,Print_full,STUNT,Regular,Inflow,,,,,Excluded,
DS,Print,Print_full,STUNT,Regular,Outflow,,,,,Excluded,
DS,Print,Print_full,STUNT,Transformers,Inflow,,,,,Excluded,
DS,Print,Print_full,STUNT,Transformers,Outflow,,,,,Excluded,
DS,Print,Print_full,STUNT,Switchers,Inflow,,,,,Excluded,
DS,Print,Print_full,STUNT,Switchers,Outflow,,,,,Excluded,
DS,Print,Print_full,TIE_IN,Regular,Inflow,,,,,statsmodels,
DS,Print,Print_full,TIE_IN,Regular,Outflow,other_flow,TIE_IN,newcheck,0,statsmodels,Could be 24
DS,Print,Print_full,TIE_IN,Transformers,Inflow,,,,,Excluded,
DS,Print,Print_full,TIE_IN,Transformers,Outflow,,,,,Excluded,
DS,Print,Print_full,TIE_IN,Switchers,Inflow,,,,,Excluded,
DS,Print,Print_full,TIE_IN,Switchers,Outflow,,,,,Excluded,
NB,Print,Print_full,BASE,Regular,Inflow,campaigns,BASE,inflow,0,statsmodels,
NB,Print,Print_full,BASE,Regular,Outflow,other_flow,BASE,newcheck,0,statsmodels,
NB,Print,Print_full,BASE,Transformers,Inflow,other_flow,PROMO,newcheck,2,GLS,
NB,Print,Print_full,BASE,Transformers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
NB,Print,Print_full,BASE,Switchers,Inflow,,,,,statsmodels,
NB,Print,Print_full,BASE,Switchers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
NB,Print,Print_full,PROMO,Regular,Inflow,campaigns,Print_full,inflow,0,statsmodels,
NB,Print,Print_full,PROMO,Regular,Outflow,other_flow,PROMO,newcheck,0,statsmodels,
NB,Print,Print_full,PROMO,Transformers,Inflow,,,,,statsmodels,
NB,Print,Print_full,PROMO,Transformers,Outflow,other_flow,PROMO,newcheck,2,GLS,
NB,Print,Print_full,PROMO,Switchers,Inflow,,,,,statsmodels,
